captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-07T21:28:05.508Z,0,0.0,25,0,46606,0,0.0,46592,0,0.0,46806,0,0.0,11207,99,0,19442,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-08T19:34:05.058Z,0,0.0,25,0,46606,0,0.0,46592,0,0.0,46806,0,0.0,11207,99,0,19442,0,0
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:07:47.507Z,0,0.0,25,0,46606,0,0.0,46592,0,0.0,46806,0,0.0,11207,99,0,19442,0,0
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:07:47.507Z,0,0.0,25,0,46606,0,0.0,46592,0,0.0,46806,0,0.0,11207,99,0,19442,0,0
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:07:47.507Z,0,0.0,25,0,46606,0,0.0,46592,0,0.0,46806,0,0.0,11207,99,0,19442,0,0
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:07:47.507Z,0,0.0,25,0,46606,0,0.0,46592,0,0.0,46806,0,0.0,11207,99,0,19442,0,0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:07:47.507Z,0,0.0,25,0,46606,0,0.0,46592,0,0.0,46806,0,0.0,11207,99,0,19442,0,0
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:38:39.512Z,1,13.82,25,4,46606,903,58.3,46592,611,39.44,46806,35,2.26,11207,99,1549,19442,1,3
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:38:39.512Z,1,13.82,25,4,46606,903,58.3,46592,611,39.44,46806,35,2.26,11207,99,1549,19442,1,3
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T01:59:54.325Z,1,13.82,25,4,46606,903,58.3,46592,611,39.44,46806,35,2.26,11207,99,1549,19442,1,3
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T02:15:09.544Z,20,74.86,25,80,46606,5450,64.97,46592,2658,31.68,46806,281,3.35,11207,99,8389,19442,20,19
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T02:15:09.544Z,20,74.86,25,80,46606,5450,64.97,46592,2658,31.68,46806,281,3.35,11207,99,8389,19442,20,19
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T02:24:06.366Z,22,88.66,25,88,46606,5809,64.58,46592,2872,31.93,46806,314,3.49,10146,99,8995,19442,22,22
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T02:33:26.178Z,22,88.66,25,88,46606,5809,64.58,46592,2872,31.93,46806,314,3.49,10146,99,8995,19442,22,22
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T02:33:26.178Z,22,88.66,25,88,46606,5809,64.58,46592,2872,31.93,46806,314,3.49,10146,99,8995,19442,22,22
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T02:33:26.178Z,22,88.66,25,88,46606,5809,64.58,46592,2872,31.93,46806,314,3.49,10146,99,8995,19442,22,22
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T02:33:26.178Z,22,88.66,25,88,46606,5809,64.58,46592,2872,31.93,46806,314,3.49,10146,99,8995,19442,22,22
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T03:01:16.206Z,25,99.0,25,100,46606,6808,64.51,46592,3391,32.13,46806,355,3.36,10146,99,10554,19442,25,25
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,OK,40111,2,2022-11-09T01:00:00.000Z,FIPSCode,40111,0,2022-11-09T03:01:16.206Z,25,99.0,25,100,46606,6808,64.51,46592,3391,32.13,46806,355,3.36,10146,99,10554,19442,25,25
