captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.winner,candidates.1.calledAt,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108OK38620,live,0.0,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:28:06.381Z,0,1984,0.0,46800,0,0.0,46798,0,0.0,46801,0,0.0,46797,0,0.0,1300000,99,0,2286039,0,0,,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108OK38620,live,0.0,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:34:05.821Z,0,1984,0.0,46800,0,0.0,46798,0,0.0,46801,0,0.0,46797,0,0.0,1300000,99,0,2286039,0,0,,,,,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108OK38620,live,0.0,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:00:05.847Z,0,1984,0.0,46798,0,0.0,46800,0,0.0,46801,0,0.0,46797,0,0.0,1300000,99,0,2286039,0,0,X,2022-11-09T01:00:04.280Z,0.0,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108OK38620,live,0.0,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:07:51.740Z,0,1984,0.0,46798,0,0.0,46800,0,0.0,46801,0,0.0,46797,0,0.0,1300000,99,0,2286039,0,0,X,2022-11-09T01:00:04.280Z,0.0,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108OK38620,live,0.0,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:16:13.541Z,0,1984,0.0,46798,0,0.0,46800,0,0.0,46801,0,0.0,46797,0,0.0,1300000,99,0,2286039,0,0,X,2022-11-09T01:00:04.280Z,0.0,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108OK38620,live,4.8,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:27:49.502Z,0,1984,0.0,46797,34137,54.76,46798,27024,43.35,46801,591,0.95,46800,588,0.94,1300000,99,62340,2286039,0,95,,,1.0,X,2022-11-09T01:00:04.280Z,0.0
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108OK38620,live,4.91,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:31:54.795Z,0,1984,0.0,46797,34645,54.24,46798,28030,43.88,46801,605,0.95,46800,598,0.94,1300000,99,63878,2286039,0,97,,,1.0,X,2022-11-09T01:00:04.280Z,0.0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108OK38620,live,7.68,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:36:59.533Z,0,1984,0.0,46797,54099,54.15,46798,43883,43.93,46800,974,0.97,46801,944,0.94,1300000,99,99900,2286039,0,152,,,1.0,X,2022-11-09T01:00:04.280Z,0.0
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108OK38620,live,18.64,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:41:42.355Z,156,1984,7.86,46798,131558,54.28,46797,105368,43.48,46801,2756,1.14,46800,2676,1.1,1300000,99,242358,2286039,156,370,X,2022-11-09T01:00:04.280Z,0.0,,,1.0
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108OK38620,live,18.64,OK,Oklahoma,37,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:43:52.113Z,156,1984,7.86,46798,131558,54.28,46797,105368,43.48,46801,2756,1.14,46800,2676,1.1,1300000,99,242358,2286039,156,370,X,2022-11-09T01:00:04.280Z,0.0,,,1.0
