captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4634.first,candidates.4634.last,candidates.4634.incumbent,candidates.4634.party,candidates.4634.candidateID,candidates.4634.ballotOrder,candidates.4634.polID,candidates.4634.polNum,candidates.4634.electWon,candidates.6149.first,candidates.6149.last,candidates.6149.party,candidates.6149.candidateID,candidates.6149.ballotOrder,candidates.6149.polID,candidates.6149.polNum,candidates.6149.electWon,candidates.6421.first,candidates.6421.last,candidates.6421.party,candidates.6421.candidateID,candidates.6421.ballotOrder,candidates.6421.polID,candidates.6421.polNum,candidates.6421.electWon,candidates.6422.first,candidates.6422.last,candidates.6422.party,candidates.6422.candidateID,candidates.6422.ballotOrder,candidates.6422.polID,candidates.6422.polNum,candidates.6422.electWon,candidates.4634.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OR-20221108_Eday80,38,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,99,0,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OR-20221108_Eday80,38,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,0,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,OR-20221108_Eday80,38,General,G,Polls Closed/Waiting First Report,Too Early to Call,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,0,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,656256,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,,
1667968092,2022-11-08 22:28:12 -0600,c3a7bcfa6d57d19e0339cd5eff437c13c5a7dec5,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,994473,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,,
1667968885,2022-11-08 22:41:25 -0600,5c24a01105c8e263f0bd136533d71002afb61845,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1149518,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,,
1667969810,2022-11-08 22:56:50 -0600,b4af1c5ed222b2aca51b198a04f7adfc76d9c4e9,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1152144,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667970723,2022-11-08 23:12:03 -0600,c9be1e43f4fd7fd7004c00409f7a589f170f0784,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1178328,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667971525,2022-11-08 23:25:25 -0600,8a3d225df35b90ad7577e78c738af67af6cd9c8b,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1179014,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667972308,2022-11-08 23:38:28 -0600,ba9f5f7b5ce443fdefcabab3b6292f3cd1310af6,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1179126,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667973160,2022-11-08 23:52:40 -0600,a8c30e49fdf2578eef8c8f50f6106d095bb0fc07,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1182497,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667973204,2022-11-08 23:53:24 -0600,9ca1adc2a96ccb8173cfd35380377368538cfb03,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1212579,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1234989,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1237236,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667976225,2022-11-09 00:43:45 -0600,c783db16cb20062f52dbeb35e3ddece74a1360e9,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1263866,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667977035,2022-11-09 00:57:15 -0600,89983779edad63b3a09a72677c82618581111910,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1273547,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667977894,2022-11-09 01:11:34 -0600,2883987a3e0c5c512fd0db14505e99d131238c1b,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1325428,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667978704,2022-11-09 01:25:04 -0600,063886ef628b03936d6bad5059dd21f00c0a4b43,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1334958,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
1667978744,2022-11-09 01:25:44 -0600,8b13f33679adcee88a6a055b710570330a1d0128,OR-20221108_Eday80,38,General,G,Active Tabulation,Called,S,U.S. Senate,Ron,Wyden,Dem,4634,1750,39807,True,True,True,2175000,90,1325428,2976195,True,20221108OR38808,2022-11-08,OR,4634,Ron,Wyden,True,Dem,4634,3,1750,39807,0,Jo Rae,Perkins,GOP,6149,1,63564,40587,0,Chris,Henry,Prg,6421,4,59846,40275,0,Dan,Pulju,PAG,6422,2,71758,41425,0,2022-11-09T04:45:59.754Z,
