captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108OR39166,live,0.0,OR,Oregon,38,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T03:19:45.794Z,0,177,0.0,6426,0,0.0,6427,0,0.0,6430,0,0.0,280461,99,0,720795,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108OR39166,live,0.0,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-08T20:05:28.781Z,0,177,0.0,6426,0,0.0,6427,0,0.0,6430,0,0.0,351895,99,0,720795,0,0,,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108OR39166,live,0.0,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:06:10.954Z,0,177,0.0,6426,0,0.0,6427,0,0.0,6430,0,0.0,351895,99,0,720795,0,0,,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108OR39166,live,21.11,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:02:49.967Z,35,177,19.77,6427,40272,54.22,6426,32635,43.94,6430,1370,1.84,351895,99,74277,720795,35,37,0.0,1.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108OR39166,live,43.63,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:17:07.023Z,93,177,52.54,6427,78105,50.87,6426,72044,46.92,6430,3383,2.2,351895,99,153532,720795,93,77,0.0,1.0,,
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,20221108OR39166,live,43.63,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:21:00.819Z,93,177,52.54,6427,78105,50.87,6426,72044,46.92,6430,3383,2.2,351895,99,153532,720795,93,77,0.0,1.0,,
1667968092,2022-11-08 22:28:12 -0600,c3a7bcfa6d57d19e0339cd5eff437c13c5a7dec5,20221108OR39166,live,43.63,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:27:32.305Z,93,177,52.54,6427,78105,50.87,6426,72044,46.92,6430,3383,2.2,351895,99,153532,720795,93,77,0.0,1.0,,
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,20221108OR39166,live,43.63,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:41:41.619Z,93,177,52.54,6427,78105,50.87,6426,72044,46.92,6430,3383,2.2,351895,99,153532,720795,93,77,0.0,1.0,,
1667970327,2022-11-08 23:05:27 -0600,1b6c4725cf9e59e40e1d6792336f8520d5b10b5b,20221108OR39166,live,44.26,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:02:06.597Z,94,177,53.11,6427,79557,51.09,6426,72762,46.72,6430,3413,2.19,351895,99,155732,720795,94,78,0.0,1.0,,
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,20221108OR39166,live,44.26,OR,Oregon,38,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:14:01.871Z,94,177,53.11,6427,79557,51.09,6426,72762,46.72,6430,3413,2.19,351895,99,155732,720795,94,78,0.0,1.0,,
