captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.51902.first,candidates.51902.last,candidates.51902.incumbent,candidates.51902.party,candidates.51902.candidateID,candidates.51902.ballotOrder,candidates.51902.polID,candidates.51902.polNum,candidates.51902.electWon,candidates.53156.first,candidates.53156.last,candidates.53156.party,candidates.53156.candidateID,candidates.53156.ballotOrder,candidates.53156.polID,candidates.53156.polNum,candidates.53156.electWon,candidates.51902.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,PA-20221108_Eday64,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,416346,99,0,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,366555,99,0,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,0,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,0,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,3106,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,23397,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,24010,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,24829,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,26728,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,366555,95,27827,1021763,True,20221108PA39012,2022-11-08,PA,51902,Mary Gay,Scanlon,True,Dem,51902,1,66421,45705,0,David,Galluch,GOP,53156,2,70050,46183,0,,
