captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-07T21:27:53.464Z,0,0.0,146,0.0,45085,0,0.0,46874,0,0.0,133603,99.0,0,285513,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-08T19:44:26.712Z,0,0.0,146,0.0,45085,0,0.0,46874,0,0.0,133603,99.0,0,285513,0,0
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-08T22:24:54.208Z,0,0.0,146,0.0,45085,0,0.0,46874,0,0.0,133603,99.0,0,285513,0,0
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-08T22:24:54.208Z,0,0.0,146,0.0,45085,0,0.0,46874,0,0.0,133603,99.0,0,285513,0,0
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:19:08.912Z,9,2.64,146,6.16,45085,1899,53.77,46874,1633,46.23,133603,99.0,3532,285513,9,4
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:21:02.408Z,8,4.73,146,6.85,45085,3483,55.15,46874,2833,44.85,133603,99.0,6316,285513,10,8
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:26:02.589Z,10,4.93,146,6.85,45085,3695,56.12,46874,2889,43.88,133603,99.0,6584,285513,10,9
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:34:00.276Z,10,17.97,146,6.85,45085,13696,57.03,46874,10318,42.97,133603,99.0,24014,285513,10,24
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:38:30.219Z,5,38.97,146,3.42,45085,32914,63.21,46874,19153,36.79,133603,99.0,52067,285513,5,58
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:43:11.048Z,5,51.21,146,3.42,45085,43199,63.13,46874,25225,36.87,133603,99.0,68424,285513,5,75
