captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-07T21:27:53.482Z,0,0.0,103,0.0,46879,0,0.0,46877,0,0.0,47050,0,0.0,87904,99.0,0,177636,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-08T19:44:26.804Z,0,0.0,103,0.0,46879,0,0.0,46877,0,0.0,47050,0,0.0,87904,99.0,0,177636,0,0
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-08T22:24:54.182Z,0,0.0,103,0.0,46879,0,0.0,46877,0,0.0,47050,0,0.0,87904,99.0,0,177636,0,0
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:18:03.238Z,0,0.61,103,0.0,46877,286,53.46,46879,241,45.05,47050,8,1.5,87904,99.0,535,177636,0,0
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:21:41.653Z,0,6.46,103,0.0,46879,3279,57.75,46877,2298,40.47,47050,101,1.78,87904,99.0,5678,177636,0,5
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:24:25.798Z,2,13.33,103,1.94,46879,6631,56.61,46877,4846,41.37,47050,237,2.02,87904,99.0,11714,177636,2,10
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:32:44.338Z,5,22.66,103,4.85,46879,11477,57.62,46877,8027,40.3,47050,416,2.09,87904,99.0,19920,177636,5,17
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:38:34.377Z,5,56.73,103,4.85,46879,25704,51.54,46877,23060,46.24,47050,1108,2.22,87904,99.0,49872,177636,5,57
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:43:04.170Z,5,61.39,103,4.85,46879,27218,50.44,46877,25559,47.36,47050,1185,2.2,87904,99.0,53962,177636,5,61
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:47:10.604Z,5,61.43,103,4.85,46879,27238,50.44,46877,25580,47.37,47050,1185,2.19,87904,99.0,54003,177636,5,61
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:52:41.474Z,5,61.93,103,4.85,46879,27292,50.14,46877,25952,47.67,47050,1192,2.19,87904,99.0,54436,177636,5,62
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T01:56:29.213Z,5,66.84,103,4.85,46879,29108,49.54,46877,28393,48.32,47050,1256,2.14,87904,99.0,58757,177636,5,66
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:02:07.284Z,5,69.68,103,4.85,46877,30037,49.04,46879,29897,48.81,47050,1320,2.15,87904,99.0,61254,177636,5,67
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:06:47.131Z,0,73.83,103,0.0,46877,32437,49.98,46879,31041,47.83,47050,1422,2.19,87904,99.0,64900,177636,0,73
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:09:04.979Z,0,75.14,103,0.0,46877,33238,50.32,46879,31373,47.5,47050,1444,2.19,87904,99.0,66055,177636,0,74
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:14:54.490Z,0,75.14,103,0.0,46877,33238,50.32,46879,31373,47.5,47050,1444,2.19,87904,99.0,66055,177636,0,74
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:19:32.706Z,0,76.15,103,0.0,46877,33488,50.03,46879,31977,47.77,47050,1470,2.2,87904,99.0,66935,177636,0,75
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:22:03.240Z,0,76.15,103,0.0,46877,33488,50.03,46879,31977,47.77,47050,1470,2.2,87904,99.0,66935,177636,0,75
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:23:32.802Z,0,76.15,103,0.0,46877,33488,50.03,46879,31977,47.77,47050,1470,2.2,87904,99.0,66935,177636,0,75
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:34:10.420Z,0,76.15,103,0.0,46877,33488,50.03,46879,31978,47.77,47050,1470,2.2,87904,99.0,66936,177636,0,75
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:36:29.744Z,0,76.15,103,0.0,46877,33488,50.03,46879,31978,47.77,47050,1470,2.2,87904,99.0,66936,177636,0,75
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:36:29.744Z,0,76.15,103,0.0,46877,33488,50.03,46879,31978,47.77,47050,1470,2.2,87904,99.0,66936,177636,0,75
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:36:29.744Z,0,76.15,103,0.0,46877,33488,50.03,46879,31978,47.77,47050,1470,2.2,87904,99.0,66936,177636,0,75
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:36:29.744Z,0,76.15,103,0.0,46877,33488,50.03,46879,31978,47.77,47050,1470,2.2,87904,99.0,66936,177636,0,75
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,RI,44007,2,2022-11-09T01:00:00.000Z,FIPSCode,44007,0,2022-11-09T02:36:29.744Z,0,76.15,103,0.0,46877,33488,50.03,46879,31978,47.77,47050,1470,2.2,87904,99.0,66936,177636,0,75
