captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108SC41003,live,0.0,SC,South Carolina,41,1,2022-11-08T23:00:00.000Z,state,0,2022-11-07T03:21:59.283Z,0,306,0.0,47576,0,0.0,49453,0,0.0,309390,99,0,751010,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108SC41003,live,0.0,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T21:38:33.363Z,0,296,0.0,47576,0,0.0,49453,0,0.0,270482,99,0,760086,0,0,,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108SC41003,live,0.0,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:02:06.741Z,0,296,0.0,47576,0,0.0,49453,0,0.0,270482,99,0,760086,0,0,,,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108SC41003,live,0.0,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:46:02.821Z,0,296,0.0,47576,0,0.0,49453,0,0.0,270482,99,0,760086,0,0,,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108SC41003,live,0.84,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:48:28.043Z,0,296,0.0,49453,1198,52.8,47576,1071,47.2,270482,99,2269,760086,0,2,0.0,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108SC41003,live,3.68,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:53:48.075Z,0,296,0.0,47576,5364,53.91,49453,4586,46.09,270482,99,9950,760086,0,11,1.0,0.0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108SC41003,live,4.14,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:03:00.576Z,4,296,1.35,47576,6190,55.31,49453,5002,44.69,270482,99,11192,760086,4,12,1.0,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108SC41003,live,4.57,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:11:00.652Z,9,296,3.04,47576,6940,56.15,49453,5420,43.85,270482,99,12360,760086,9,14,1.0,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108SC41003,live,5.15,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:28:36.523Z,15,296,5.07,47576,8087,58.0,49453,5856,42.0,270482,99,13943,760086,15,15,1.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108SC41003,live,10.31,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:38:03.123Z,29,296,9.8,47576,16936,60.71,49453,10961,39.29,270482,99,27897,760086,29,31,1.0,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108SC41003,live,10.31,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:43:09.568Z,29,296,9.8,47576,16936,60.71,49453,10961,39.29,270482,99,27897,760086,29,31,1.0,0.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108SC41003,live,15.62,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:46:03.099Z,30,296,10.14,47576,25826,61.14,49453,16415,38.86,270482,99,42241,760086,30,46,1.0,0.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108SC41003,live,15.62,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:49:43.641Z,30,296,10.14,47576,25826,61.14,49453,16415,38.86,270482,99,42241,760086,30,46,1.0,0.0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108SC41003,live,15.62,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:54:11.503Z,30,296,10.14,47576,25826,61.14,49453,16415,38.86,270482,99,42241,760086,30,46,1.0,0.0,X,2022-11-09T01:54:05.578Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108SC41003,live,18.75,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:02:01.303Z,35,296,11.82,47576,29162,57.52,49453,21540,42.48,270482,99,50702,760086,35,55,1.0,0.0,X,2022-11-09T01:54:05.578Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108SC41003,live,18.75,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:04:02.784Z,35,296,11.82,47576,29162,57.52,49453,21540,42.48,270482,99,50702,760086,35,55,1.0,0.0,X,2022-11-09T01:54:05.578Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108SC41003,live,21.26,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:07:28.462Z,47,296,15.88,47576,33629,58.55,49453,23804,41.45,270096,99,57433,760086,47,63,1.0,0.0,X,2022-11-09T01:54:05.578Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108SC41003,live,21.26,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:20:11.232Z,47,296,15.88,47576,33629,58.55,49453,23804,41.45,270096,99,57433,760086,47,63,1.0,0.0,X,2022-11-09T01:54:05.578Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108SC41003,live,23.31,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:25:01.770Z,53,296,17.91,47576,37543,59.63,49453,25420,40.37,270096,99,62963,760086,53,69,1.0,0.0,X,2022-11-09T01:54:05.578Z
