captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.47521.first,candidates.47521.last,candidates.47521.party,candidates.47521.incumbent,candidates.47521.candidateID,candidates.47521.polID,candidates.47521.ballotOrder,candidates.47521.polNum,candidates.47521.electWon,candidates.49463.first,candidates.49463.last,candidates.49463.party,candidates.49463.candidateID,candidates.49463.polID,candidates.49463.ballotOrder,candidates.49463.polNum,candidates.49463.electWon,candidates.47521.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,SC-20221108_Eday62,41,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,372469,99,0,1022727,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,SC-20221108_Eday80,41,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,0,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,SC-20221108_Eday80,41,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,0,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,1091,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,5468,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,15053,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,21464,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,41250,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,SC-20221108_Eday80,41,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,245467,99,59970,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,SC-20221108_Eday80,41,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,243632,99,81552,1048192,True,20221108SC41315,2022-11-08,SC,47521,James,Clyburn,Dem,True,47521,1414,1,42083,0,Duke,Buckner,GOP,49463,68757,2,44582,0,2022-11-09T02:08:54.691Z
