captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108SC41972,live,0.0,SC,South Carolina,41,1,2022-11-08T23:00:00.000Z,state,0,2022-11-07T03:21:59.921Z,0,360,0.0,48668,0,0.0,49622,0,0.0,49458,0,0.0,304480,99,0,864994,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108SC41972,live,0.0,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T21:38:38.689Z,0,360,0.0,48668,0,0.0,49622,0,0.0,49458,0,0.0,261208,99,0,859237,0,0,,,,
1667946118,2022-11-08 22:21:58 +0000,b0ec305a58a3c05dc10bdd2ce1d37d335dfdf7d4,20221108SC41972,live,0.0,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T22:18:32.486Z,0,360,0.0,48668,0,0.0,49622,0,0.0,49458,0,0.0,261208,99,0,859237,0,0,,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108SC41972,live,0.0,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:02:07.144Z,0,360,0.0,48668,0,0.0,49622,0,0.0,49458,0,0.0,261208,99,0,859237,0,0,,,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108SC41972,live,1.1,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:42:02.484Z,0,360,0.0,49458,1593,55.27,48668,1163,40.35,49622,126,4.37,261208,99,2882,859237,0,4,0.0,,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108SC41972,live,1.77,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:44:10.808Z,0,360,0.0,49458,2843,61.66,48668,1627,35.29,49622,141,3.06,261208,99,4611,859237,0,6,0.0,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108SC41972,live,1.94,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:50:31.167Z,2,360,0.56,49458,3046,60.03,48668,1873,36.91,49622,155,3.05,261208,99,5074,859237,2,7,0.0,1.0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108SC41972,live,1.94,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:59:39.999Z,2,360,0.56,49458,3046,60.03,48668,1873,36.91,49622,155,3.05,261208,99,5074,859237,2,7,0.0,1.0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108SC41972,live,5.22,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:05:04.304Z,5,360,1.39,49458,6840,50.12,48668,6551,48.0,49622,257,1.88,261208,99,13648,859237,5,19,0.0,1.0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108SC41972,live,7.71,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:07:24.361Z,17,360,4.72,48668,10403,51.63,49458,9386,46.58,49622,360,1.79,261208,99,20149,859237,17,28,1.0,0.0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108SC41972,live,14.73,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:19:00.630Z,30,360,8.33,48668,22231,57.77,49458,15667,40.71,49622,582,1.51,261208,99,38480,859237,30,53,1.0,0.0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108SC41972,live,27.39,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:21:14.437Z,43,360,11.94,48668,42152,58.92,49458,28390,39.68,49622,1003,1.4,261208,99,71545,859237,43,99,1.0,0.0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108SC41972,live,33.85,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:29:03.888Z,56,360,15.56,48668,52933,59.87,49458,34278,38.77,49622,1206,1.36,261208,99,88417,859237,56,122,1.0,0.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108SC41972,live,39.03,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:33:03.665Z,89,360,24.72,48668,62082,60.9,49458,38451,37.72,49622,1409,1.38,261208,99,101942,859237,89,140,1.0,0.0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108SC41972,live,39.55,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:37:31.386Z,90,360,25.0,48668,62955,60.94,49458,38917,37.67,49622,1437,1.39,261208,99,103309,859237,90,142,1.0,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108SC41972,live,39.55,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:42:46.177Z,90,360,25.0,48668,62955,60.94,49458,38917,37.67,49622,1437,1.39,261208,99,103309,859237,90,142,1.0,0.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108SC41972,live,41.44,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:47:05.194Z,97,360,26.94,48668,66239,61.2,49458,40486,37.41,49622,1511,1.4,261208,99,108236,859237,97,149,1.0,0.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108SC41972,live,43.77,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:52:02.403Z,113,360,31.39,48668,70161,61.37,49458,42572,37.24,49622,1599,1.4,261208,99,114332,859237,113,158,1.0,0.0,X,2022-11-09T01:51:11.777Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108SC41972,live,46.47,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:57:12.234Z,125,360,34.72,48668,75283,62.01,49458,44409,36.58,49622,1704,1.4,261208,99,121396,859237,125,167,1.0,0.0,X,2022-11-09T01:51:11.777Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108SC41972,live,46.47,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:01:00.017Z,125,360,34.72,48668,75283,62.01,49458,44409,36.58,49622,1704,1.4,261208,99,121396,859237,125,167,1.0,0.0,X,2022-11-09T01:51:11.777Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108SC41972,live,52.81,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:06:41.016Z,165,360,45.83,48668,85974,62.32,49458,50075,36.3,49622,1902,1.38,261208,99,137951,859237,165,190,1.0,0.0,X,2022-11-09T01:51:11.777Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108SC41972,live,57.71,SC,South Carolina,41,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:11:03.460Z,206,360,57.22,48668,93456,62.2,49458,54542,36.3,49622,2243,1.49,260352,99,150241,859237,206,208,1.0,0.0,X,2022-11-09T01:51:11.777Z
