captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.48388.first,candidates.48388.last,candidates.48388.abbrv,candidates.48388.incumbent,candidates.48388.party,candidates.48388.candidateID,candidates.48388.ballotOrder,candidates.48388.polID,candidates.48388.polNum,candidates.48388.electWon,candidates.50751.first,candidates.50751.last,candidates.50751.party,candidates.50751.candidateID,candidates.50751.ballotOrder,candidates.50751.polID,candidates.50751.polNum,candidates.50751.electWon,candidates.50950.first,candidates.50950.last,candidates.50950.party,candidates.50950.candidateID,candidates.50950.ballotOrder,candidates.50950.polID,candidates.50950.polNum,candidates.50950.electWon,candidates.50951.first,candidates.50951.last,candidates.50951.party,candidates.50951.candidateID,candidates.50951.ballotOrder,candidates.50951.polID,candidates.50951.polNum,candidates.50951.electWon,candidates.48388.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TN-20221108_Eday80,43,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,257668,99,0,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257668,99,10754,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257668,99,22997,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TN-20221108_Eday80,43,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257668,99,65334,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,257668,99,75128,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,2022-11-09T01:46:49.629Z,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,257668,99,85443,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,2022-11-09T01:46:49.629Z,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,257668,99,92450,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,2022-11-09T01:46:49.629Z,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,212392,99,109273,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,2022-11-09T01:46:49.629Z,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,212392,99,112687,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,2022-11-09T01:46:49.629Z,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,TN-20221108_Eday80,43,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,212392,99,109273,932801,True,20221108TN43009,2022-11-08,TN,48388,Chuck,Fleischmann,Flschmn,True,GOP,48388,1,60964,45487,0.0,Meg,Gorman,Dem,50751,2,69260,46688,0.0,Rick,Tyler,Ind,50950,4,64243,46142,0.0,Thomas,Rumba,Ind,50951,3,70885,46819,0.0,2022-11-09T01:46:49.629Z,
