captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.62805.first,candidates.62805.last,candidates.62805.party,candidates.62805.candidateID,candidates.62805.ballotOrder,candidates.62805.polID,candidates.62805.polNum,candidates.62805.electWon,candidates.62930.first,candidates.62930.last,candidates.62930.abbrv,candidates.62930.party,candidates.62930.candidateID,candidates.62930.ballotOrder,candidates.62930.polID,candidates.62930.polNum,candidates.62930.electWon,candidates.62805.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,0,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,0,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,9230,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,66595,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,13634,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,92312,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,104781,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,127943,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,111119,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"East TX, LA border",True,District 1,1,271770,99,127943,1204635,True,20221108TX45871,2022-11-08,TX,Nathaniel,Moran,GOP,62805,2,69805,52901,0,Jrmar,Jefferson,Jeffersn,Dem,62930,1,65015,53009,0,
