captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56617.first,candidates.56617.last,candidates.56617.party,candidates.56617.incumbent,candidates.56617.candidateID,candidates.56617.polID,candidates.56617.ballotOrder,candidates.56617.polNum,candidates.56617.electWon,candidates.62942.first,candidates.62942.last,candidates.62942.party,candidates.62942.candidateID,candidates.62942.polID,candidates.62942.ballotOrder,candidates.62942.polNum,candidates.62942.electWon,candidates.56617.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,535637,99,0,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,0,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,129937,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,133855,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,151193,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,181926,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,,
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,181926,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,2022-11-09T04:14:04.575Z,
1667969897,2022-11-08 22:58:17 -0600,4cc79ac7abd56ff5901adb554fdccc45c88f1310,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,214666,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,2022-11-09T04:14:04.575Z,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,257785,99,231536,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,2022-11-09T04:14:04.575Z,
1667977077,2022-11-09 00:57:57 -0600,e96cea5b95acdc4d7cb935c4ee20e3275e516aa1,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,NW pt Fort Worth/subs,True,District 12,12,258534,99,231536,976063,True,20221108TX45882,2022-11-08,TX,56617,Kay,Granger,GOP,True,56617,296,1,47451,0,Trey,Hunt,Dem,62942,69833,2,53020,0,2022-11-09T04:14:04.575Z,
