captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,UT,49003,2,2022-11-09T02:00:00.000Z,FIPSCode,49003,0,2022-11-07T03:23:07.768Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21618,99,0,30995,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-08T19:01:45.865Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,99,0,30995,0,0
1667949573,2022-11-08 23:19:33 +0000,2891155c76df951385c61df78f71bb7f4a65a56b,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-08T23:18:05.578Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-09T03:02:27.700Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-09T03:02:27.700Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-09T03:02:27.700Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-09T03:02:27.700Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-09T03:02:27.700Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-09T03:02:27.700Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,UT,49003,2,2022-11-09T03:00:00.000Z,FIPSCode,49003,0,2022-11-09T03:02:27.700Z,0,0.0,68,0.0,56436,0,0.0,56437,0,0.0,21485,90,0,30995,0,0
