captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-07T21:37:55.893Z,0,0.0,48,0.0,51364,0,0.0,51910,0,0.0,92187,99,0,137564,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-08T19:50:38.218Z,0,0.0,48,0.0,51364,0,0.0,51910,0,0.0,92187,99,0,137564,0,0
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:02:53.633Z,0,0.0,48,0.0,51364,0,0.0,51910,0,0.0,92187,99,0,137564,0,0
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:02:53.633Z,0,0.0,48,0.0,51364,0,0.0,51910,0,0.0,92187,99,0,137564,0,0
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:02:53.633Z,0,0.0,48,0.0,51364,0,0.0,51910,0,0.0,92187,99,0,137564,0,0
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:24:36.174Z,25,21.56,48,52.08,51364,10426,52.47,51910,9446,47.53,92187,99,19872,137564,25,10
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:28:33.019Z,30,27.83,48,62.5,51364,13227,51.56,51910,12426,48.44,92187,99,25653,137564,30,13
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:33:35.732Z,30,27.94,48,62.5,51364,13327,51.75,51910,12426,48.25,92187,99,25753,137564,30,13
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:37:35.788Z,32,30.19,48,66.67,51364,14594,52.43,51910,13239,47.57,92187,99,27833,137564,32,14
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,VA,51041,2,2022-11-09T00:00:00.000Z,FIPSCode,51041,0,2022-11-09T00:40:34.162Z,32,30.16,48,66.67,51364,14543,52.31,51910,13256,47.69,92187,99,27799,137564,32,14
