captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.51739.first,candidates.51739.last,candidates.51739.incumbent,candidates.51739.party,candidates.51739.candidateID,candidates.51739.ballotOrder,candidates.51739.polID,candidates.51739.polNum,candidates.51739.electWon,candidates.51924.first,candidates.51924.last,candidates.51924.party,candidates.51924.candidateID,candidates.51924.ballotOrder,candidates.51924.polID,candidates.51924.polNum,candidates.51924.electWon,candidates.51739.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,VA-20221108_Eday80,47,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,327622,99,0,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,VA-20221108_Eday80,47,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 6,6,327622,99,0,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,327622,99,19826,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,327622,99,26352,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,327622,99,19826,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,327622,99,42803,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,326983,99,67352,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,VA-20221108_Eday80,47,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,326983,99,64348,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,VA-20221108_Eday80,47,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,326983,99,93152,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,2022-11-09T01:03:53.277Z,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,VA-20221108_Eday80,47,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,326983,99,104102,1216407,True,20221108VA47011,2022-11-08,VA,51739,Ben,Cline,True,GOP,51739,2,45587,49382,0,Jennifer,Lewis,Dem,51924,1,66935,49517,0,2022-11-09T01:03:53.277Z,
