captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.52392.first,candidates.52392.last,candidates.52392.incumbent,candidates.52392.party,candidates.52392.candidateID,candidates.52392.ballotOrder,candidates.52392.polID,candidates.52392.polNum,candidates.52392.electWon,candidates.53981.first,candidates.53981.last,candidates.53981.party,candidates.53981.candidateID,candidates.53981.ballotOrder,candidates.53981.polID,candidates.53981.polNum,candidates.53981.electWon,candidates.54247.first,candidates.54247.last,candidates.54247.party,candidates.54247.candidateID,candidates.54247.ballotOrder,candidates.54247.polID,candidates.54247.polNum,candidates.54247.electWon,candidates.54248.first,candidates.54248.last,candidates.54248.party,candidates.54248.candidateID,candidates.54248.ballotOrder,candidates.54248.polID,candidates.54248.polNum,candidates.54248.electWon,candidates.54249.first,candidates.54249.last,candidates.54249.party,candidates.54249.candidateID,candidates.54249.ballotOrder,candidates.54249.polID,candidates.54249.polNum,candidates.54249.electWon,candidates.52392.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,VT-20221108_Eday80,46,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,239338,99,0,499349,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,VT-20221108_Eday80,46,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,0,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,701,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,2359,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,3733,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,6571,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,14657,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,28764,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,35296,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,VT-20221108_Eday80,46,General,G,Active Tabulation,Too Early to Call,G,Governor,Phil,Scott,GOP,52392,45443,49000,True,True,True,322465,99,88365,483698,True,20221108VT46375,2022-11-08,VT,52392,Phil,Scott,True,GOP,52392,4,45443,49000,0,Brenda,Siegel,Dem,53981,5,67434,49992,0,Kevin,Hoyt,Ind,54247,2,69498,50025,0,Peter,Duval,Ind,54248,1,71181,50351,0,Bernard,Peters,Ind,54249,3,64038,49782,0,
