captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108WA48009,live,0.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-07T21:37:46.656Z,0,628,0.0,9502,0,0.0,9501,0,0.0,295783,99,0,991108,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108WA48009,live,0.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-08T20:20:24.533Z,0,628,0.0,9502,0,0.0,9501,0,0.0,295783,70,0,991108,0,0,,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108WA48009,live,0.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:00:02.902Z,0,628,0.0,9502,0,0.0,9501,0,0.0,295783,70,0,991108,0,0,,,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108WA48009,live,52.74,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:12:21.915Z,331,628,0.0,9502,84954,54.46,9501,71050,45.54,295783,70,156004,991108,0,331,1.0,0.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108WA48009,live,63.53,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:17:38.370Z,399,628,0.0,9502,99607,53.01,9501,88308,46.99,295783,70,187915,991108,0,399,1.0,0.0,,
1667967592,2022-11-08 22:19:52 -0600,bb461283809479aaf92a1a30cba63636f0c85695,20221108WA48009,live,63.53,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:17:51.421Z,399,628,0.0,9502,99607,53.01,9501,88308,46.99,295783,70,187915,991108,0,399,1.0,0.0,,
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,20221108WA48009,live,64.93,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:22:27.555Z,408,628,0.0,9502,100564,52.93,9501,89441,47.07,292652,70,190005,991108,0,408,1.0,0.0,,
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,20221108WA48009,live,64.93,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:22:27.555Z,408,628,0.0,9502,100564,52.93,9501,89441,47.07,292652,70,190005,991108,0,408,1.0,0.0,,
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,20221108WA48009,live,64.93,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:26:17.587Z,408,628,0.0,9502,100564,52.93,9501,89441,47.07,292652,70,190005,991108,0,408,1.0,0.0,,
1667968138,2022-11-08 22:28:58 -0600,78be3d1941803188124b187362be51adf1e8fdfb,20221108WA48009,live,64.93,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:28:31.995Z,408,628,0.0,9502,100564,52.93,9501,89441,47.07,292652,70,190005,991108,0,408,1.0,0.0,,
1668034373,2022-11-09 16:52:53 -0600,c6d0ada17a75bba7e83a28ea6e49f51805529d25,20221108WA48009,live,65.17,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T22:52:10.001Z,409,628,0.0,9502,100876,52.89,9501,89859,47.11,292652,70,190735,991108,0,409,1.0,0.0,,
1668034545,2022-11-09 16:55:45 -0600,c8b02fd9464928622651dd0dde90b1b943ffa388,20221108WA48009,live,65.17,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T22:55:10.120Z,409,628,0.0,9502,100876,52.89,9501,89859,47.11,292652,70,190735,991108,0,409,1.0,0.0,,
1668040617,2022-11-09 18:36:57 -0600,08ab8c82f8ef78d2c2a8cd5bf29aaa45e5456ba8,20221108WA48009,live,66.41,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T00:36:39.497Z,417,628,0.0,9502,102124,52.55,9501,92224,47.45,292652,70,194348,991108,0,417,1.0,0.0,,
1668040664,2022-11-09 18:37:44 -0600,4b413419c1909999719acf6ef09db93b4b07a714,20221108WA48009,live,66.41,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T00:36:51.526Z,417,628,0.0,9502,102124,52.55,9501,92224,47.45,292652,70,194348,991108,0,417,1.0,0.0,,
1668043438,2022-11-09 19:23:58 -0600,237a164d223d20230051f65b571b11dae26cbf48,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T01:23:30.784Z,440,628,0.0,9502,111803,52.69,9501,100390,47.31,292652,70,212193,991108,0,440,1.0,0.0,,
1668045453,2022-11-09 19:57:33 -0600,8265775541e5ab8c2ef0b040bbab549ff01d3a7c,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T01:57:08.121Z,440,628,0.0,9502,112084,52.66,9501,100750,47.34,292652,70,212834,991108,0,440,1.0,0.0,,
1668045582,2022-11-09 19:59:42 -0600,7d3a0e7013e0269decebb4314cb265f420dd1db3,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T01:58:47.613Z,440,628,0.0,9502,112084,52.66,9501,100750,47.34,292652,70,212834,991108,0,440,1.0,0.0,,
1668049302,2022-11-09 21:01:42 -0600,9600e30427bb846b62d6d2095eb9b7d0af44754d,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T03:01:16.772Z,440,628,0.0,9502,114675,52.34,9501,104402,47.66,292652,70,219077,991108,0,440,1.0,0.0,,
1668049387,2022-11-09 21:03:07 -0600,89aeecd39fe47dba2a6f81615ec8a7a12a6c9a4d,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T03:02:09.582Z,440,628,0.0,9502,114675,52.34,9501,104402,47.66,292652,70,219077,991108,0,440,1.0,0.0,,
1668097242,2022-11-10 10:20:42 -0600,39341534bec3964fb188ba5e1d9fa259a4e141c9,20221108WA48009,live,65.8,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T16:19:52.183Z,413,628,0.0,9502,114675,52.34,9501,104402,47.66,332942,70,219077,991108,0,413,1.0,0.0,,
1668098123,2022-11-10 10:35:23 -0600,276eb71d077f55038e3ec1a2865b8f0976e93962,20221108WA48009,live,66.27,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T16:33:14.551Z,416,628,0.0,9502,114675,52.34,9501,104402,47.66,330578,70,219077,991108,0,416,1.0,0.0,,
1668098252,2022-11-10 10:37:32 -0600,29b0cff0428a1a49fe958cc35d18c3fdcf253324,20221108WA48009,live,66.53,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T16:37:07.389Z,418,628,0.0,9502,114675,52.34,9501,104402,47.66,329293,70,219077,991108,0,418,1.0,0.0,,
1668108343,2022-11-10 13:25:43 -0600,3fd9e6fd6d97dc0f77f066bac405d2435e908895,20221108WA48009,live,66.65,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T19:25:13.195Z,419,628,0.0,9502,114839,52.33,9501,104620,47.67,329293,70,219459,991108,0,419,1.0,0.0,,
1668108384,2022-11-10 13:26:24 -0600,7fd83be1226dba4dde75c16d58442702402a05b0,20221108WA48009,live,66.65,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T19:26:11.808Z,419,628,0.0,9502,114839,52.33,9501,104620,47.67,329293,70,219459,991108,0,419,1.0,0.0,,
1668116055,2022-11-10 15:34:15 -0600,fb0eee04e59dfb5c7db34b8c85c17555d0ebd8c0,20221108WA48009,live,66.76,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-10T21:33:38.618Z,419,628,0.0,9502,114966,52.3,9501,104858,47.7,329293,70,219824,991108,0,419,1.0,0.0,,
1668128638,2022-11-10 19:03:58 -0600,a7970ec5f57f50664f6eb41dc7886381a02fa415,20221108WA48009,live,66.76,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T01:03:11.029Z,419,628,0.0,9502,114966,52.3,9501,104858,47.7,329293,70,219824,991108,0,419,1.0,0.0,,
1668128723,2022-11-10 19:05:23 -0600,ac964235da8dc3ac8ef7c69e9b2908c113cc4927,20221108WA48009,live,68.49,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T01:04:50.169Z,430,628,0.0,9502,117199,51.97,9501,108324,48.03,329293,70,225523,991108,0,430,1.0,0.0,,
1668129015,2022-11-10 19:10:15 -0600,ece7490ee7e1627b0b2eeb9cf4462b2e8b083657,20221108WA48009,live,68.49,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T01:09:29.093Z,430,628,0.0,9502,117199,51.97,9501,108324,48.03,329293,70,225523,991108,0,430,1.0,0.0,,
1668129267,2022-11-10 19:14:27 -0600,c1a56134959b142144f176e005fcb3939763a8e1,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T01:10:07.102Z,440,628,0.0,9502,119183,51.44,9501,112517,48.56,329293,70,231700,991108,0,440,1.0,0.0,,
1668131083,2022-11-10 19:44:43 -0600,2c6d9b5ec68a1c2232d60c7e3cc383a2c948af40,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T01:44:30.207Z,440,628,0.0,9502,119183,51.44,9501,112517,48.56,325029,70,231700,991108,0,440,1.0,0.0,,
1668131550,2022-11-10 19:52:30 -0600,34c1b23e00a6a8f54485877476b3534b26d0e05c,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T01:51:43.334Z,440,628,0.0,9502,119845,51.29,9501,113837,48.71,325029,70,233682,991108,0,440,1.0,0.0,,
1668131635,2022-11-10 19:53:55 -0600,6dbd3a8a318f0721ab193bc7ebdb634bede50b16,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T01:53:32.966Z,440,628,0.0,9502,119845,51.29,9501,113837,48.71,325029,70,233682,991108,0,440,1.0,0.0,,
1668133842,2022-11-10 20:30:42 -0600,9b68cdcc1aa17dc04b137717f9dfac493a72f574,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T02:30:04.060Z,440,628,0.0,9502,132161,51.14,9501,126279,48.86,325029,70,258440,991108,0,440,1.0,0.0,,
1668133927,2022-11-10 20:32:07 -0600,fb3dd7aa115bf4bede539d1feb772fd2fcd5a59f,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T02:31:09.480Z,440,628,0.0,9502,132161,51.14,9501,126279,48.86,325029,70,258440,991108,0,440,1.0,0.0,,
1668184670,2022-11-11 10:37:50 -0600,a83fd539522b7e2c5c5e6d83c4cafca3ba9d3d3c,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T16:37:12.836Z,440,628,0.0,9502,132161,51.14,9501,126279,48.86,326142,70,258440,991108,0,440,1.0,0.0,,
1668185460,2022-11-11 10:51:00 -0600,9b7997b24b6ba9308271eac9990659fd89871c22,20221108WA48009,live,70.0,WA,Washington,48,1,2022-11-09T04:00:00.000Z,state,0,2022-11-11T16:50:05.747Z,440,628,0.0,9502,132161,51.14,9501,126279,48.86,324151,70,258440,991108,0,440,1.0,0.0,,
