captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108WI50056,live,0.0,WI,Wisconsin,50,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T03:28:34.269Z,0,336,0.0,27882,0,0.0,28451,0,0.0,401682,99,0,588663,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108WI50056,live,0.0,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T19:52:59.212Z,0,336,0.0,27882,0,0.0,28451,0,0.0,529754,99,0,588663,0,0,,,,
1667947429,2022-11-08 22:43:49 +0000,e6d5bcf1f6c68c6499934b6e270555c5d0bb1bbf,20221108WI50056,live,0.0,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:42:02.535Z,0,336,0.0,27882,0,0.0,28451,0,0.0,529754,99,0,588663,0,0,,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108WI50056,live,2.28,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:21:30.943Z,33,336,9.82,27882,8409,69.69,28451,3657,30.31,529754,99,12066,588663,33,8,0.0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108WI50056,live,4.45,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:26:31.662Z,49,336,14.58,27882,16632,70.52,28451,6953,29.48,529754,99,23585,588663,49,15,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108WI50056,live,7.55,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:35:31.117Z,59,336,17.56,27882,28107,70.25,28451,11904,29.75,529754,99,40011,588663,59,25,0.0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108WI50056,live,37.15,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:38:31.082Z,190,336,56.55,27882,129018,65.56,28451,67785,34.44,529754,99,196803,588663,190,125,0.0,,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,20221108WI50056,live,39.83,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:44:00.994Z,204,336,60.71,27882,138075,65.43,28451,72952,34.57,529754,99,211027,588663,204,134,0.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108WI50056,live,47.36,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:49:33.591Z,252,336,75.0,27882,160689,64.05,28451,90211,35.95,529754,99,250900,588663,252,159,0.0,1.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108WI50056,live,48.68,WI,Wisconsin,50,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:53:54.027Z,259,336,77.08,27882,164907,63.94,28451,93003,36.06,529754,99,257910,588663,259,164,0.0,1.0,,
