captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.26723.first,candidates.26723.last,candidates.26723.incumbent,candidates.26723.party,candidates.26723.candidateID,candidates.26723.ballotOrder,candidates.26723.polID,candidates.26723.polNum,candidates.26723.electWon,candidates.28402.first,candidates.28402.last,candidates.28402.party,candidates.28402.candidateID,candidates.28402.ballotOrder,candidates.28402.polID,candidates.28402.polNum,candidates.28402.electWon,candidates.26723.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2939561,99,0,3471728,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,WI-20221108_Eday80,50,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,0,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,34542,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,4300,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,138000,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,34542,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,138000,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,756488,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,925973,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,943052,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,1181222,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,1377410,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,1531928,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,WI-20221108_Eday80,50,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Ron,Johnson,GOP,26723,60740,52545,True,True,True,2800000,99,1694418,3519659,True,20221108WI50885,2022-11-08,WI,26723,Ron,Johnson,True,GOP,26723,2,60740,52545,0,Mandela,Barnes,Dem,28402,1,71214,52654,0,,
