captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108WV49273,live,0.0,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-07T21:38:41.027Z,0,913,0.0,58709,0,0.0,58704,0,0.0,59160,0,0.0,262891,99,0,756195,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108WV49273,live,0.0,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T19:49:25.939Z,0,913,0.0,58709,0,0.0,58704,0,0.0,59160,0,0.0,264207,99,0,756195,0,0,,,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108WV49273,live,0.0,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:33:31.349Z,0,913,0.0,58709,0,0.0,58704,0,0.0,59160,0,0.0,264207,99,0,756195,0,0,,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108WV49273,live,4.55,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:52:01.245Z,1,913,0.11,58709,7297,60.75,58704,4364,36.33,59160,350,2.91,264207,99,12011,756195,1,42,0.0,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108WV49273,live,4.55,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:56:40.146Z,1,913,0.11,58709,7297,60.75,58704,4364,36.33,59160,350,2.91,264207,99,12011,756195,1,42,0.0,,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108WV49273,live,5.93,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:58:59.916Z,1,913,0.11,58709,9618,61.35,58704,5532,35.29,59160,526,3.36,264207,99,15676,756195,1,54,0.0,,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108WV49273,live,7.26,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:06:26.382Z,3,913,0.33,58709,11520,60.03,58704,7002,36.49,59160,667,3.48,264207,99,19189,756195,3,66,0.0,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108WV49273,live,12.34,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:10:46.930Z,3,913,0.33,58709,17922,54.96,58704,13582,41.65,59160,1105,3.39,264207,99,32609,756195,3,113,0.0,1.0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108WV49273,live,14.55,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:14:02.948Z,20,913,2.19,58709,21970,57.14,58704,15150,39.4,59160,1329,3.46,264207,99,38449,756195,20,133,0.0,1.0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108WV49273,live,17.53,WV,West Virginia,49,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:19:06.338Z,28,913,3.07,58709,26983,58.27,58704,17474,37.74,59160,1848,3.99,264207,99,46305,756195,28,160,0.0,1.0,,
